trait	location	collection_date
hCoV-19/Austria/CeMM0802/2020|EPI_ISL_583708|2020-05-06	other	2020-05-06
hCoV-19/Austria/CeMM1083/2020|EPI_ISL_583885|2020-07-19	other	2020-07-19
hCoV-19/Austria/CeMM11074/2021|EPI_ISL_2617634|2021-05-13	other	2021-05-13
hCoV-19/Austria/CeMM11086/2021|EPI_ISL_2617643|2021-05-13	other	2021-05-13
hCoV-19/Austria/CeMM11229/2021|EPI_ISL_2617662|2021-05-18	other	2021-05-18
hCoV-19/Austria/CeMM11555/2021|EPI_ISL_2657460|2021-06-01	other	2021-06-01
hCoV-19/Austria/CeMM11776/2021|EPI_ISL_2758013|2021-06-10	other	2021-06-10
hCoV-19/Austria/CeMM12189/2021|EPI_ISL_2887563|2021-06-17	other	2021-06-17
hCoV-19/Austria/CeMM12210/2021|EPI_ISL_2887583|2021-06-17	other	2021-06-17
hCoV-19/Austria/CeMM12297/2021|EPI_ISL_2887669|2021-06-17	other	2021-06-17
hCoV-19/Austria/CeMM12756/2021|EPI_ISL_3039962|2021-07-02	other	2021-07-02
hCoV-19/Austria/CeMM1367/2020|EPI_ISL_853906|2020-08-22	other	2020-08-22
hCoV-19/Austria/CeMM1382/2020|EPI_ISL_853913|2020-08-31	other	2020-08-31
hCoV-19/Austria/CeMM4447/2020|EPI_ISL_1209303|2020-11-10	other	2020-11-10
hCoV-19/Austria/CeMM7267/2021|EPI_ISL_2232728|2021-03-31	other	2021-03-31
hCoV-19/Austria/CeMM7269/2021|EPI_ISL_2232730|2021-03-31	other	2021-03-31
hCoV-19/Austria/CeMM8226/2021|EPI_ISL_1967329|2021-04-18	other	2021-04-18
hCoV-19/Austria/CeMM8679/2021|EPI_ISL_2232832|2021-04-26	other	2021-04-26
hCoV-19/Austria/CeMM8705/2021|EPI_ISL_2232856|2021-04-24	other	2021-04-24
hCoV-19/Austria/CeMM8752/2021|EPI_ISL_2232894|2021-04-06	other	2021-04-06
hCoV-19/Austria/CeMM9585/2021|EPI_ISL_2427228|2021-05-17	other	2021-05-17
hCoV-19/Austria/KILM629/2021|EPI_ISL_2757905|2021-06-19	other	2021-06-19
hCoV-19/Bahamas/10929/2021|EPI_ISL_1415419|2021-01-18	other	2021-01-18
hCoV-19/Bahamas/33423/2021|EPI_ISL_2982858|2021-04-13	other	2021-04-13
hCoV-19/Bahamas/33821/2020|EPI_ISL_1415415|2020-03-31	other	2020-03-31
hCoV-19/Bahamas/33824/2020|EPI_ISL_1415413|2020-04-23	other	2020-04-23
hCoV-19/Bahamas/33838/2020|EPI_ISL_1415405|2020-11-05	other	2020-11-05
hCoV-19/Bahamas/33846/2020|EPI_ISL_1415401|2020-11-05	other	2020-11-05
hCoV-19/Bahamas/33852/2020|EPI_ISL_1415398|2020-11-10	other	2020-11-10
hCoV-19/Bahrain/341726172/2021|EPI_ISL_1660466|2021-03-21	other	2021-03-21
hCoV-19/Bahrain/840056464/2021|EPI_ISL_1660427|2021-04-10	other	2021-04-10
hCoV-19/Bahrain/840056921/2021|EPI_ISL_1660432|2021-04-10	other	2021-04-10
hCoV-19/Bahrain/920858661/2021|EPI_ISL_1660450|2021-04-10	other	2021-04-10
hCoV-19/Bahrain/921080211/2021|EPI_ISL_2932653|2021-06-29	other	2021-06-29
hCoV-19/Bahrain/921080317/2021|EPI_ISL_2932654|2021-06-29	other	2021-06-29
hCoV-19/Bangladesh/CHRF-0396/2021|EPI_ISL_3071097|2021-05-29	other	2021-05-29
hCoV-19/Bangladesh/CU-CTG-74/2020|EPI_ISL_1707099|2020-08-23	other	2020-08-23
hCoV-19/Bangladesh/G-38/2020|EPI_ISL_600562|2020-03-26	other	2020-03-26
hCoV-19/Bangladesh/IEDCR-DJ-002/2021|EPI_ISL_2105565|2021-04-29	other	2021-04-29
hCoV-19/Bangladesh/IEDCR-JS003/2021|EPI_ISL_1938475|2021-04-28	other	2021-04-28
hCoV-19/Bangladesh/NGRI-R4-1/2020|EPI_ISL_1626514|2020-11-15	other	2020-11-15
hCoV-19/Bangladesh/icddrb-1210509020/2021|EPI_ISL_2627361|2021-05-29	other	2021-05-29
hCoV-19/Bangladesh/icddrb-7782/2021|EPI_ISL_1715166|2021-03-31	other	2021-03-31
hCoV-19/Bangladesh/icddrb-CGH-CU-3619/2021|EPI_ISL_2987454|2021-06-27	other	2021-06-27
hCoV-19/Bangladesh/icddrb-CGH-CU-3791/2021|EPI_ISL_2987442|2021-07-01	other	2021-07-01
hCoV-19/Bangladesh/ideSHi-N-1500/2021|EPI_ISL_1498149|2021-03-31	other	2021-03-31
hCoV-19/Barbados/59718/2021|EPI_ISL_2544756|2021-03-16	other	2021-03-16
hCoV-19/Barbados/63454/2021|EPI_ISL_2545191|2021-04-08	other	2021-04-08
hCoV-19/Barbados/63465/2021|EPI_ISL_2545192|2021-04-10	other	2021-04-10
hCoV-19/Barbados/63485/2021|EPI_ISL_2545194|2021-04-10	other	2021-04-10
hCoV-19/Barbados/67294/2021|EPI_ISL_2621681|2021-05-04	other	2021-05-04
hCoV-19/Barbados/67297/2021|EPI_ISL_2621682|2021-05-04	other	2021-05-04
hCoV-19/Barbados/67697/2021|EPI_ISL_2621679|2021-04-25	other	2021-04-25
hCoV-19/Barbados/71158/2021|EPI_ISL_2678168|2021-05-04	other	2021-05-04
hCoV-19/Barbados/71161/2021|EPI_ISL_2678172|2021-05-08	other	2021-05-08
hCoV-19/Barbados/71162/2021|EPI_ISL_2678163|2021-05-21	other	2021-05-21
hCoV-19/Barbados/71164/2021|EPI_ISL_2678164|2021-05-24	other	2021-05-24
hCoV-19/Barbados/76426/2021|EPI_ISL_2967991|2021-07-03	other	2021-07-03
hCoV-19/Barbados/76427/2021|EPI_ISL_2967992|2021-07-03	other	2021-07-03
hCoV-19/Barbados/BRB50398/2020|EPI_ISL_977656|2020-12-30	other	2020-12-30
hCoV-19/Barbados/BRB50403/2021|EPI_ISL_977659|2021-01-03	other	2021-01-03
hCoV-19/Beijing/DT-travelFR01/2020|EPI_ISL_452330|2020-03-21	other	2020-03-21
hCoV-19/Belarus/HM-RRCEM-Sars_Cov2_sp_1/2021|EPI_ISL_1138899|2021-01-18	other	2021-01-18
hCoV-19/Belarus/RRPCEM-VIS_1300/2021|EPI_ISL_1653933|2021-03-25	other	2021-03-25
hCoV-19/Belarus/RRPCEM-VIS_2008/2021|EPI_ISL_2467938|2021-04-13	other	2021-04-13
hCoV-19/Belgium/BA-02291/2020|EPI_ISL_415159|2020-02-29	other	2020-02-29
hCoV-19/Belgium/Jessa_11-2112-001031-99912089192464/2021|EPI_ISL_1577587|2021-03-22	other	2021-03-22
hCoV-19/Belgium/Jessa_55-2113-000017/2021|EPI_ISL_1577651|2021-03-29	other	2021-03-29
hCoV-19/Belgium/MBLGPF351322/2021|EPI_ISL_2885660|2021-06-29	other	2021-06-29
hCoV-19/Belgium/MBLGPF418919/2021|EPI_ISL_2885655|2021-07-02	other	2021-07-02
hCoV-19/Belgium/MBLGPF475959/2021|EPI_ISL_2966323|2021-07-05	other	2021-07-05
hCoV-19/Belgium/MBLGPF639570/2021|EPI_ISL_2626058|2021-06-11	other	2021-06-11
hCoV-19/Belgium/ULG-10065/2020|EPI_ISL_424635|2020-04-03	other	2020-04-03
hCoV-19/Belgium/ULG-10955/2020|EPI_ISL_707734|2020-09-07	other	2020-09-07
hCoV-19/Belgium/ULG-11455/2020|EPI_ISL_925410|2020-08-07	other	2020-08-07
hCoV-19/Belgium/UZA-UA-CV2054193753/2021|EPI_ISL_2016731|2021-05-03	other	2021-05-03
hCoV-19/Belgium/rega-0501632/2020|EPI_ISL_734689|2020-05-01	other	2020-05-01
hCoV-19/Belgium/rega-2277/2021|EPI_ISL_1048917|2021-01-21	other	2021-01-21
hCoV-19/Belgium/rega-3024/2021|EPI_ISL_1057046|2021-02-06	other	2021-02-06
hCoV-19/Belgium/rega-9224/2021|EPI_ISL_2725900|2021-05-03	other	2021-05-03
hCoV-19/Belize/BZ-CML-TCMC-BZ006-0920/2020|EPI_ISL_1822763|2020-09-18	other	2020-09-18
hCoV-19/Belize/BZ-CML-TCMC-BZ007-0920/2020|EPI_ISL_1822764|2020-09-23	other	2020-09-23
hCoV-19/Belize/BZ-CML-TCMC-BZ018-1120/2020|EPI_ISL_1822745|2020-11-05	other	2020-11-05
hCoV-19/Belize/BZ-CML-TCMC-BZ031-1220/2020|EPI_ISL_1822744|2020-12-27	other	2020-12-27
hCoV-19/Belize/BZ-CML-TCMC-BZ044-0121/2021|EPI_ISL_1822784|2021-01-05	other	2021-01-05
hCoV-19/Bermuda/51481/2020|EPI_ISL_2478972|2020-12-14	other	2020-12-14
hCoV-19/Bolivia/Sucre-GM2-4/2021|EPI_ISL_2462063|2021-05-10	other	2021-05-10
hCoV-19/Bonaire/BQ-RIVM-25778/2021|EPI_ISL_1705251|2021-04-06	other	2021-04-06
hCoV-19/Bonaire/BQ-RIVM-25812/2021|EPI_ISL_1705285|2021-04-02	other	2021-04-02
hCoV-19/Bonaire/BQ-RIVM-27378/2021|EPI_ISL_1792862|2021-04-07	other	2021-04-07
hCoV-19/Bonaire/BQ-RIVM-27386/2021|EPI_ISL_1792360|2021-04-08	other	2021-04-08
hCoV-19/Bonaire/BQ-RIVM-27410/2021|EPI_ISL_1792864|2021-04-12	other	2021-04-12
hCoV-19/Bonaire/BQ-RIVM-27422/2021|EPI_ISL_1792865|2021-04-14	other	2021-04-14
hCoV-19/Bonaire/BQ-RIVM-35140/2021|EPI_ISL_2405597|2021-05-19	other	2021-05-19
hCoV-19/Bonaire/BQ-RIVM-42355/2021|EPI_ISL_2981896|2021-06-26	other	2021-06-26
hCoV-19/Bonaire/BQ-RIVM-43226/2021|EPI_ISL_3056849|2021-07-01	other	2021-07-01
hCoV-19/Bonaire/BQ-RIVM-45023/2021|EPI_ISL_3137095|2021-07-13	other	2021-07-13
hCoV-19/Bonaire/BQ-RIVM-45034/2021|EPI_ISL_3137106|2021-07-07	other	2021-07-07
hCoV-19/Bonaire/BQ-RIVM-45057/2021|EPI_ISL_3137129|2021-07-08	other	2021-07-08
hCoV-19/Bosnia_and_Herzegovina/141602/2021|EPI_ISL_2790411|2021-04-08	other	2021-04-08
hCoV-19/Bosnia_and_Herzegovina/EL281/2021|EPI_ISL_2029260|2021-05-04	other	2021-05-04
hCoV-19/Bosnia_and_Herzegovina/VFS-UNSA-LMGFI003/2020|EPI_ISL_955142|2020-07-15	other	2020-07-15
hCoV-19/Bosnia_and_Herzegovina/VFS-UNSA-LMGFI006/2020|EPI_ISL_955148|2020-09-14	other	2020-09-14
hCoV-19/Bosnia_and_Herzegovina/VFS-UNSA-LMGFI034/2021|EPI_ISL_3076900|2021-07-01	other	2021-07-01
hCoV-19/Bosnia_and_Herzegovina/VFS-UNSA-LMGFI035/2021|EPI_ISL_3076901|2021-07-01	other	2021-07-01
hCoV-19/Bosnia_and_Herzegovina/VFS-UNSA-LMGFI038/2021|EPI_ISL_3076939|2021-07-05	other	2021-07-05
hCoV-19/Botswana/R14B1_BHP_AAB39500/2021|EPI_ISL_2386151|2021-05-10	other	2021-05-10
hCoV-19/Botswana/R14B24_BHP_b58_121047443/2021|EPI_ISL_2566206|2021-04-28	other	2021-04-28
hCoV-19/Botswana/R14B25_BHP_b59_121047451/2021|EPI_ISL_2566207|2021-04-28	other	2021-04-28
hCoV-19/Botswana/R14B26_BHP_b60_121047444/2021|EPI_ISL_2566208|2021-04-28	other	2021-04-28
hCoV-19/Botswana/R14B27_BHP_b61_121047439/2021|EPI_ISL_2566209|2021-04-28	other	2021-04-28
hCoV-19/Botswana/R14B4_BHP_AAB39488/2021|EPI_ISL_2386152|2021-05-10	other	2021-05-10
hCoV-19/Botswana/R19B59_BHP_000530475/2021|EPI_ISL_2820347|2021-06-23	other	2021-06-23
hCoV-19/Botswana/R21B10_BHP_000561649/2021|EPI_ISL_2868361|2021-07-02	other	2021-07-02
hCoV-19/Botswana/R21B58_BHP_AAB79027/2021|EPI_ISL_2868365|2021-07-04	other	2021-07-04
hCoV-19/Botswana/R21B62_BHP_AAB78203/2021|EPI_ISL_2868327|2021-07-02	other	2021-07-02
hCoV-19/Botswana/R21B68_BHP_AAB78372/2021|EPI_ISL_2868388|2021-07-02	other	2021-07-02
hCoV-19/Botswana/R21B70_BHP_AAB77941/2021|EPI_ISL_2868344|2021-07-02	other	2021-07-02
hCoV-19/Brazil/AM-FIOCRUZ-20143297CR/2020|EPI_ISL_1068114|2020-12-23	other	2020-12-23
hCoV-19/Brazil/BA-27/2020|EPI_ISL_978512|2020-02-28	other	2020-02-28
hCoV-19/Brazil/PR-FIOCRUZ-28439/2021|EPI_ISL_2603454|2021-05-05	other	2021-05-05
hCoV-19/Brazil/PR-FIOCRUZ-5616-TG-172/2020|EPI_ISL_2775494|2020-02-26	other	2020-02-26
hCoV-19/Brazil/PR-IPEC-016/2020|EPI_ISL_2758697|2020-07-10	other	2020-07-10
hCoV-19/Brazil/RJ-FIOCRUZ-17342/2021|EPI_ISL_2196204|2021-03-31	other	2021-03-31
hCoV-19/Brazil/RJ-FIOCRUZ-17343/2021|EPI_ISL_2196205|2021-03-31	other	2021-03-31
hCoV-19/Brazil/RJ-FIOCRUZ-32716/2020|EPI_ISL_2614128|2020-12-28	other	2020-12-28
hCoV-19/Brazil/RS-FIOCRUZ-28512/2021|EPI_ISL_2603551|2021-05-12	other	2021-05-12
hCoV-19/Brazil/SC-FIOCRUZ-31633/2021|EPI_ISL_2983412|2021-06-08	other	2021-06-08
hCoV-19/Brazil/SP-HIAE-ID256/2021|EPI_ISL_3047721|2021-07-07	other	2021-07-07
hCoV-19/Brazil/SP-IB_100886/2021|EPI_ISL_1966870|2021-04-04	other	2021-04-04
hCoV-19/Brazil/SP-IB_101556/2021|EPI_ISL_2344688|2021-03-31	other	2021-03-31
hCoV-19/Brazil/SP-IB_102693/2021|EPI_ISL_2345714|2021-05-03	other	2021-05-03
hCoV-19/Brazil/SP-IB_118671/2021|EPI_ISL_3031564|2021-07-08	other	2021-07-08
hCoV-19/Brazil/SP-IB_120348/2021|EPI_ISL_3104821|2021-07-17	other	2021-07-17
hCoV-19/Brazil/SP-L1-CAMPI5/2020|EPI_ISL_476168|2020-04-02	other	2020-04-02
hCoV-19/Brazil/SP-L115-CD6998/2020|EPI_ISL_2344302|2020-10-21	other	2020-10-21
hCoV-19/Brazil/SP-L26-CD545/2020|EPI_ISL_672724|2020-04-17	other	2020-04-17
hCoV-19/Brunei/6/2020|EPI_ISL_962877|2020-12-28	other	2020-12-28
hCoV-19/Brunei/7/2020|EPI_ISL_962878|2020-12-28	other	2020-12-28
hCoV-19/Bulgaria/21BG-EU_000362_Pl4/2021|EPI_ISL_1231671|2021-02-12	other	2021-02-12
hCoV-19/Bulgaria/21BG-EU_000803_Pl9/2021|EPI_ISL_1401284|2021-02-13	other	2021-02-13
hCoV-19/Bulgaria/21BG-EU_003647_Pl31/2021|EPI_ISL_2967066|2021-06-22	other	2021-06-22
hCoV-19/Bulgaria/21BG-EU_003740_Pl32/2021|EPI_ISL_3076762|2021-06-28	other	2021-06-28
hCoV-19/Bulgaria/21BG-EU_003747_Pl32/2021|EPI_ISL_3076769|2021-07-01	other	2021-07-01
hCoV-19/Bulgaria/21BG-EU_003761_Pl32/2021|EPI_ISL_3076781|2021-07-02	other	2021-07-02
hCoV-19/Bulgaria/21BG-EU_003790_Pl32/2021|EPI_ISL_3076806|2021-06-24	other	2021-06-24
hCoV-19/Bulgaria/21BG-NC_001688_Run8/2021|EPI_ISL_1509856|2021-03-23	other	2021-03-23
hCoV-19/Bulgaria/21BG-NC_002062_R9/2021|EPI_ISL_2099472|2021-03-31	other	2021-03-31
hCoV-19/Bulgaria/21BG-NC_002453_R10/2021|EPI_ISL_2099492|2021-04-12	other	2021-04-12
hCoV-19/Bulgaria/21BG-NC_002718_R11/2021|EPI_ISL_2379203|2021-04-05	other	2021-04-05
hCoV-19/Bulgaria/21BG-NC_003550_R14/2021|EPI_ISL_2967147|2021-06-17	other	2021-06-17
hCoV-19/Bulgaria/21BG-NC_A000075/2020|EPI_ISL_2081938|2020-11-16	other	2020-11-16
hCoV-19/Bulgaria/24/2020|EPI_ISL_480304|2020-04-22	other	2020-04-22
hCoV-19/Burundi/UG524/2021|EPI_ISL_2928008|2021-05-27	other	2021-05-27
hCoV-19/Burundi/UG557/2021|EPI_ISL_2928011|2021-05-31	other	2021-05-31
hCoV-19/Cabo_Verde/Porto_Novo_11533/2020|EPI_ISL_1123286|2020-11-25	other	2020-11-25
hCoV-19/Cabo_Verde/Porto_Novo_14021/2020|EPI_ISL_1711658|2020-12-18	other	2020-12-18
hCoV-19/Cabo_Verde/Ribeira_Grande_03146/2021|EPI_ISL_1123287|2021-01-21	other	2021-01-21
hCoV-19/Cambodia/111948/2020|EPI_ISL_918373|2020-11-09	other	2020-11-09
hCoV-19/Cambodia/254939/2021|EPI_ISL_1532806|2021-02-22	other	2021-02-22
hCoV-19/Cambodia/313050/2021|EPI_ISL_1534536|2021-03-12	other	2021-03-12
hCoV-19/Cambodia/372516/2021|EPI_ISL_1706598|2021-03-31	other	2021-03-31
hCoV-19/Cambodia/442470/2021|EPI_ISL_2106247|2021-04-30	other	2021-04-30
hCoV-19/Cambodia/524668/2021|EPI_ISL_2406477|2021-05-29	other	2021-05-29
hCoV-19/Cambodia/588160/2021|EPI_ISL_2801913|2021-06-24	other	2021-06-24
hCoV-19/Cambodia/635726/2021|EPI_ISL_3045580|2021-07-14	other	2021-07-14
hCoV-19/Cambodia/Kunming_kms-2/2020|EPI_ISL_682298|2020-03-21	other	2020-03-21
hCoV-19/Cambodia/VIR21274256/2021|EPI_ISL_2106271|2021-05-03	other	2021-05-03
hCoV-19/Cambodia/f0331001/2021|EPI_ISL_1706602|2021-03-31	other	2021-03-31
hCoV-19/Cameroon/CAM079/2021|EPI_ISL_1972326|2021-03-01	other	2021-03-01
hCoV-19/Cameroon/CV406/2020|EPI_ISL_845548|2020-06-12	other	2020-06-12
hCoV-19/Cameroon/Douala-TB-001/2021|EPI_ISL_1257893|2021-01-28	other	2021-01-28
hCoV-19/Cameroon/ICGEB-CIRCB_26193/2021|EPI_ISL_2504141|2021-04-15	other	2021-04-15
hCoV-19/Cameroon/ICGEB-CIRCB_26438/2021|EPI_ISL_2504142|2021-04-17	other	2021-04-17
hCoV-19/Cameroon/Yaounde-21V-08192/2021|EPI_ISL_1790133|2021-02-19	other	2021-02-19
hCoV-19/Canada/AB-61358/2020|EPI_ISL_806311|2020-04-13	other	2020-04-13
hCoV-19/Canada/AB-72321/2020|EPI_ISL_804996|2020-04-17	other	2020-04-17
hCoV-19/Canada/AB-ABPHL-05515/2020|EPI_ISL_2164937|2020-09-21	other	2020-09-21
hCoV-19/Canada/AB-ABPHL-13922/2021|EPI_ISL_2477729|2021-04-14	other	2021-04-14
hCoV-19/Canada/AB-ABPHL-15245/2021|EPI_ISL_2478593|2021-04-27	other	2021-04-27
hCoV-19/Canada/AB-ABPHL-15575/2021|EPI_ISL_2478781|2021-04-24	other	2021-04-24
hCoV-19/Canada/AB-ABPHL-18356/2021|EPI_ISL_2940110|2021-04-28	other	2021-04-28
hCoV-19/Canada/AB-ABPHL-18748/2021|EPI_ISL_2941124|2021-05-15	other	2021-05-15
hCoV-19/Canada/AB-ABPHL-22316/2021|EPI_ISL_3116850|2021-05-04	other	2021-05-04
hCoV-19/Canada/AB-ABPHL-23887/2021|EPI_ISL_3115878|2021-07-01	other	2021-07-01
hCoV-19/Canada/ABPHL-04081/2020|EPI_ISL_2164069|2020-11-08	other	2020-11-08
hCoV-19/Canada/ABPHL-07556/2021|EPI_ISL_2166096|2021-03-04	other	2021-03-04
hCoV-19/Canada/ABPHL-11640/2021|EPI_ISL_2169307|2021-03-31	other	2021-03-31
hCoV-19/Canada/ABPHL-11667/2021|EPI_ISL_2169330|2021-03-31	other	2021-03-31
hCoV-19/Canada/ABPHL-12506/2021|EPI_ISL_2170006|2021-04-09	other	2021-04-09
hCoV-19/Canada/ABPHL-12987/2021|EPI_ISL_2170360|2021-04-10	other	2021-04-10
hCoV-19/Canada/BC-BCCDC-3483/2020|EPI_ISL_968260|2020-06-24	other	2020-06-24
hCoV-19/Canada/BC-BCCDC-3564/2020|EPI_ISL_968262|2020-06-24	other	2020-06-24
hCoV-19/Canada/BC-BCCDC-35776/2021|EPI_ISL_2498470|2021-01-04	other	2021-01-04
hCoV-19/Canada/BC-BCCDC-55026/2021|EPI_ISL_2530755|2021-03-25	other	2021-03-25
hCoV-19/Canada/BC-BCCDC-55999/2021|EPI_ISL_2531082|2021-04-14	other	2021-04-14
hCoV-19/Canada/BC-BCCDC-57464/2021|EPI_ISL_2653295|2021-03-31	other	2021-03-31
hCoV-19/Canada/BC-BCCDC-74541/2021|EPI_ISL_2654935|2021-03-31	other	2021-03-31
hCoV-19/Canada/BC-BCCDC-75097/2021|EPI_ISL_2655449|2021-04-14	other	2021-04-14
hCoV-19/Canada/BC-BCCDC-76416/2021|EPI_ISL_2719280|2021-03-31	other	2021-03-31
hCoV-19/Canada/BC-BCCDC-78052/2021|EPI_ISL_2720087|2021-04-22	other	2021-04-22
hCoV-19/Canada/BC-BCCDC-87116/2021|EPI_ISL_2721473|2021-05-09	other	2021-05-09
hCoV-19/Canada/BC-BCCDC-87440/2021|EPI_ISL_2721612|2021-05-12	other	2021-05-12
hCoV-19/Canada/BC-BCCDC-87592/2021|EPI_ISL_2721688|2021-05-08	other	2021-05-08
hCoV-19/Canada/BC-BCCDC-88681/2021|EPI_ISL_2721936|2021-05-04	other	2021-05-04
hCoV-19/Canada/BC_41851/2020|EPI_ISL_415584|2020-03-02	other	2020-03-02
hCoV-19/Canada/MB-NML-1166/2020|EPI_ISL_582487|2020-07-21	other	2020-07-21
hCoV-19/Canada/MB-NML-23459/2021|EPI_ISL_2495478|2021-03-19	other	2021-03-19
hCoV-19/Canada/MB-NML-31008/2021|EPI_ISL_1594071|2021-03-31	other	2021-03-31
hCoV-19/Canada/MB-NML-34967/2021|EPI_ISL_2495563|2021-04-07	other	2021-04-07
hCoV-19/Canada/MB-NML-565/2020|EPI_ISL_582263|2020-05-03	other	2020-05-03
hCoV-19/Canada/MB-NML-60271/2021|EPI_ISL_2495669|2021-04-21	other	2021-04-21
hCoV-19/Canada/MB-NML-70508/2021|EPI_ISL_2495675|2021-04-29	other	2021-04-29
