trait	location	collection_date
hCoV-19/Australia/NSW-ICPMR-12783/2021|EPI_ISL_6251590|2021-10-31	other	2021-10-31
hCoV-19/Australia/NSW-ICPMR-17290/2021|EPI_ISL_7749011|2021-12-10	other	2021-12-10
hCoV-19/Australia/NSW-ICPMR-1760/2021|EPI_ISL_3305535|2021-07-29	other	2021-07-29
hCoV-19/Australia/NSW-ICPMR-18840/2021|EPI_ISL_8334291|2021-12-27	other	2021-12-27
hCoV-19/Australia/NSW-ICPMR-20178/2022|EPI_ISL_9821002|2022-01-31	other	2022-01-31
hCoV-19/Australia/NSW1762/2021|EPI_ISL_2811988|2021-06-30	other	2021-06-30
hCoV-19/Australia/QLD1689/2021|EPI_ISL_1273076|2021-03-13	other	2021-03-13
hCoV-19/Australia/SA63602/2022|EPI_ISL_9222820|2022-01-13	other	2022-01-13
hCoV-19/Australia/VIC1562/2020|EPI_ISL_456492|2020-05-04	other	2020-05-04
hCoV-19/Australia/VIC23243/2021|EPI_ISL_4883457|2021-09-10	other	2021-09-10
hCoV-19/Australia/VIC26379/2021|EPI_ISL_6588915|2021-10-16	other	2021-10-16
hCoV-19/Australia/VIC26930/2021|EPI_ISL_7825788|2021-11-11	other	2021-11-11
hCoV-19/Australia/VIC28363/2021|EPI_ISL_7766505|2021-11-22	other	2021-11-22
hCoV-19/Australia/WA1267/2022|EPI_ISL_9595785|2022-02-02	other	2022-02-02
hCoV-19/Australia/WA720/2021|EPI_ISL_1972911|2021-05-04	other	2021-05-04
hCoV-19/Austria/CeMM0685/2020|EPI_ISL_583645|2020-05-23	other	2020-05-23
hCoV-19/Austria/CeMM13738/2021|EPI_ISL_3307530|2021-07-18	other	2021-07-18
hCoV-19/Austria/CeMM18624/2021|EPI_ISL_6092787|2021-10-22	other	2021-10-22
hCoV-19/Austria/CeMM18990/2021|EPI_ISL_6332590|2021-10-28	other	2021-10-28
hCoV-19/Austria/CeMM7290/2021|EPI_ISL_2232751|2021-04-07	other	2021-04-07
hCoV-19/Austria/LB-R00059-S307/2022|EPI_ISL_9852472|2022-02-03	other	2022-02-03
hCoV-19/Azerbaijan/MHTM-A2/2022|EPI_ISL_8540911|2022-01-10	other	2022-01-10
hCoV-19/Azerbaijan/un-ChVir24287_225/2020|EPI_ISL_9214643|2020-07-21	other	2020-07-21
hCoV-19/Bahamas/33820/2020|EPI_ISL_1415416|2020-03-29	other	2020-03-29
hCoV-19/Bahrain/21921838523_S39_L001/2021|EPI_ISL_6266526|2021-11-06	other	2021-11-06
hCoV-19/Bahrain/BAH-07/2020|EPI_ISL_483548|2020-03-14	other	2020-03-14
hCoV-19/Bahrain/BAH-11/2020|EPI_ISL_483552|2020-03-30	other	2020-03-30
hCoV-19/Bangladesh/CHRF-0079/2020|EPI_ISL_700342|2020-09-01	other	2020-09-01
hCoV-19/Bangladesh/CHRF-0237/2020|EPI_ISL_1752700|2020-10-27	other	2020-10-27
hCoV-19/Bangladesh/CHRF-GSB04-109/2021|EPI_ISL_8981383|2021-12-28	other	2021-12-28
hCoV-19/Bangladesh/DNAS-BSH-isl-1/2020|EPI_ISL_605898|2020-04-29	other	2020-04-29
hCoV-19/Bangladesh/IEDCR-icddrb-GSB01-173/2021|EPI_ISL_7871063|2021-11-22	other	2021-11-22
hCoV-19/Bangladesh/JUST-GC283-055_W8/2021|EPI_ISL_2348660|2021-04-03	other	2021-04-03
hCoV-19/Bangladesh/NGRI-R3-O1/2020|EPI_ISL_1626509|2020-08-11	other	2020-08-11
hCoV-19/Bangladesh/icddrb-GEB-CU-33/2021|EPI_ISL_2620731|2021-05-23	other	2021-05-23
hCoV-19/Bangladesh/icddrb-GSB03-165/2022|EPI_ISL_8756757|2022-01-06	other	2022-01-06
hCoV-19/Barbados/67294/2021|EPI_ISL_2621681|2021-05-04	other	2021-05-04
hCoV-19/Belarus/HM-CRIE-L219T0040u/2021|EPI_ISL_9318100|2021-04-29	other	2021-04-29
hCoV-19/Belarus/HM-CRIE-L219T0076u/2021|EPI_ISL_9354783|2021-04-01	other	2021-04-01
hCoV-19/Belgium/AZDelta-05225-2122R/2021|EPI_ISL_2499870|2021-06-07	other	2021-06-07
hCoV-19/Belgium/AZDelta-2205-00501/2022|EPI_ISL_9754685|2022-02-04	other	2022-02-04
hCoV-19/Belgium/Jessa_11-2146-000889LKO/2021|EPI_ISL_6469863|2021-11-15	other	2021-11-15
hCoV-19/Belgium/MBLG-CTMAPF77149867/2022|EPI_ISL_9793755|2022-02-02	other	2022-02-02
hCoV-19/Belgium/UGent-12047/2021|EPI_ISL_7834957|2021-10-13	other	2021-10-13
hCoV-19/Belgium/UGent-1779/2021|EPI_ISL_1109781|2021-02-10	other	2021-02-10
hCoV-19/Belgium/UGent-86/2020|EPI_ISL_468734|2020-03-11	other	2020-03-11
hCoV-19/Belgium/ULG-10241/2020|EPI_ISL_498147|2020-06-30	other	2020-06-30
hCoV-19/Belgium/UZA-UA-CV8380994202/2022|EPI_ISL_9696086|2022-01-31	other	2022-01-31
hCoV-19/Belgium/UZA-UA-MI22022793/2022|EPI_ISL_9394931|2022-01-15	other	2022-01-15
hCoV-19/Belgium/rega-18211/2021|EPI_ISL_5767916|2021-10-18	other	2021-10-18
hCoV-19/Belgium/rega-22196/2021|EPI_ISL_7790086|2021-11-02	other	2021-11-02
hCoV-19/Belgium/rega-4204/2021|EPI_ISL_1380644|2021-03-01	other	2021-03-01
hCoV-19/Belize/8415509/2021|EPI_ISL_5457270|2021-07-22	other	2021-07-22
hCoV-19/Belize/BZ-CML-TCMC-BZ009-1020/2020|EPI_ISL_1822766|2020-10-05	other	2020-10-05
hCoV-19/Belize/CML-103/2021|EPI_ISL_4296407|2021-06-30	other	2021-06-30
hCoV-19/Belize/CML-17/2021|EPI_ISL_4296325|2021-01-22	other	2021-01-22
hCoV-19/Belize/CML-19/2021|EPI_ISL_4296327|2021-01-25	other	2021-01-25
hCoV-19/Belize/CML-197/2021|EPI_ISL_8838990|2021-10-01	other	2021-10-01
hCoV-19/Belize/CML-203/2021|EPI_ISL_8838996|2021-10-04	other	2021-10-04
hCoV-19/Belize/CML-204/2021|EPI_ISL_8838997|2021-10-06	other	2021-10-06
hCoV-19/Belize/CML-229/2021|EPI_ISL_8839018|2021-10-08	other	2021-10-08
hCoV-19/Belize/CML-232/2021|EPI_ISL_8839020|2021-10-07	other	2021-10-07
hCoV-19/Belize/CML-240/2021|EPI_ISL_8889595|2021-10-29	other	2021-10-29
hCoV-19/Belize/CML-241/2021|EPI_ISL_8889604|2021-10-29	other	2021-10-29
hCoV-19/Belize/CML-244/2021|EPI_ISL_8889588|2021-11-04	other	2021-11-04
hCoV-19/Belize/CML-245/2021|EPI_ISL_8889606|2021-11-07	other	2021-11-07
hCoV-19/Belize/CML-249/2021|EPI_ISL_8889598|2021-11-07	other	2021-11-07
hCoV-19/Belize/CML-255/2021|EPI_ISL_8889592|2021-11-09	other	2021-11-09
hCoV-19/Belize/CML-256/2021|EPI_ISL_8889590|2021-11-09	other	2021-11-09
hCoV-19/Belize/CML-258/2021|EPI_ISL_8889593|2021-11-10	other	2021-11-10
hCoV-19/Belize/CML-26/2021|EPI_ISL_4296334|2021-01-27	other	2021-01-27
hCoV-19/Belize/CML-273/2021|EPI_ISL_9570685|2021-11-29	other	2021-11-29
hCoV-19/Belize/CML-275/2021|EPI_ISL_9570680|2021-11-30	other	2021-11-30
hCoV-19/Belize/CML-280/2021|EPI_ISL_9570681|2021-11-30	other	2021-11-30
hCoV-19/Belize/CML-290/2021|EPI_ISL_9570700|2021-12-04	other	2021-12-04
hCoV-19/Belize/CML-292/2021|EPI_ISL_9570702|2021-12-10	other	2021-12-10
hCoV-19/Belize/CML-294/2021|EPI_ISL_9670669|2021-12-21	other	2021-12-21
hCoV-19/Belize/CML-298/2021|EPI_ISL_9670673|2021-12-23	other	2021-12-23
hCoV-19/Belize/CML-306/2021|EPI_ISL_9670681|2021-12-28	other	2021-12-28
hCoV-19/Belize/CML-312/2021|EPI_ISL_9670687|2021-12-26	other	2021-12-26
hCoV-19/Belize/CML-32/2021|EPI_ISL_4296340|2021-01-28	other	2021-01-28
hCoV-19/Belize/CML-337/2022|EPI_ISL_9711938|2022-01-01	other	2022-01-01
hCoV-19/Belize/CML-339/2021|EPI_ISL_9711940|2021-12-30	other	2021-12-30
hCoV-19/Belize/CML-351/2022|EPI_ISL_9711952|2022-01-03	other	2022-01-03
hCoV-19/Belize/CML-37/2021|EPI_ISL_4296345|2021-02-04	other	2021-02-04
hCoV-19/Belize/CML-380/2022|EPI_ISL_9711895|2022-01-07	other	2022-01-07
hCoV-19/Belize/CML-386/2022|EPI_ISL_9711901|2022-01-10	other	2022-01-10
hCoV-19/Belize/CML-411/2022|EPI_ISL_9879556|2022-01-24	other	2022-01-24
hCoV-19/Belize/CML-435/2022|EPI_ISL_9879580|2022-01-30	other	2022-01-30
hCoV-19/Belize/CML-56/2021|EPI_ISL_4296364|2021-03-15	other	2021-03-15
hCoV-19/Belize/CML-63/2021|EPI_ISL_4296368|2021-05-25	other	2021-05-25
hCoV-19/Belize/CML-95/2021|EPI_ISL_4296399|2021-04-07	other	2021-04-07
hCoV-19/Belize/un-CDC-3595772-001/2020|EPI_ISL_509714|2020-04-09	other	2020-04-09
hCoV-19/Benin/248661/2021|EPI_ISL_2932532|2021-01-30	other	2021-01-30
hCoV-19/Benin/415828/2021|EPI_ISL_4566832|2021-05-25	other	2021-05-25
hCoV-19/Benin/417876/2021|EPI_ISL_4566846|2021-05-27	other	2021-05-27
hCoV-19/Bermuda/WR-NYGC-DEC-6099-QSXN965/2021|EPI_ISL_9121032|2021-12-02	other	2021-12-02
hCoV-19/Bermuda/WR-NYGC-DEC-6130-LSCW531/2021|EPI_ISL_9121152|2021-11-12	other	2021-11-12
hCoV-19/Bermuda/WR-NYGC-DEC-6132-MZFB693/2021|EPI_ISL_9121156|2021-11-12	other	2021-11-12
hCoV-19/Bermuda/WR-NYGC-DEC-6146-VRBP292/2021|EPI_ISL_9121151|2021-12-13	other	2021-12-13
hCoV-19/Bolivia/26954/2020|EPI_ISL_837572|2020-03-11	other	2020-03-11
hCoV-19/Bolivia/26958/2020|EPI_ISL_837576|2020-03-31	other	2020-03-31
hCoV-19/Bolivia/SAN-CABANA-PE-UPCH-2292/2021|EPI_ISL_8800575|2021-10-27	other	2021-10-27
hCoV-19/Bolivia/SAN-CABANA-PE-UPCH-2298/2021|EPI_ISL_8800587|2021-11-01	other	2021-11-01
hCoV-19/Bolivia/SAN-CABANA-PE-UPCH-2347/2021|EPI_ISL_8800586|2021-11-05	other	2021-11-05
hCoV-19/Bolivia/SAN-UPCH-1077/2020|EPI_ISL_5147791|2020-05-21	other	2020-05-21
hCoV-19/Bonaire/BQ-RIVM-16964/2021|EPI_ISL_1288135|2021-02-27	other	2021-02-27
hCoV-19/Bonaire/BQ-RIVM-68485/2021|EPI_ISL_6232237|2021-11-02	other	2021-11-02
hCoV-19/Bonaire/BQ-RIVM-68494/2021|EPI_ISL_6232250|2021-10-29	other	2021-10-29
hCoV-19/Bonaire/BQ-RIVM-69656/2021|EPI_ISL_6852602|2021-11-08	other	2021-11-08
hCoV-19/Bonaire/BQ-RIVM-77960/2021|EPI_ISL_8586780|2021-12-21	other	2021-12-21
hCoV-19/Bonaire/BQ-RIVM-80956/2021|EPI_ISL_9086395|2021-12-31	other	2021-12-31
hCoV-19/Bonaire/BQ-RIVM-81221/2022|EPI_ISL_9086297|2022-01-03	other	2022-01-03
hCoV-19/Bonaire/BQ-RIVM-83825/2022|EPI_ISL_9530034|2022-01-11	other	2022-01-11
hCoV-19/Bosnia_and_Herzegovina/141696/2021|EPI_ISL_2790404|2021-04-08	other	2021-04-08
hCoV-19/Bosnia_and_Herzegovina/159182/2021|EPI_ISL_2790393|2021-06-08	other	2021-06-08
hCoV-19/Bosnia_and_Herzegovina/EL281/2021|EPI_ISL_2029260|2021-05-04	other	2021-05-04
hCoV-19/Bosnia_and_Herzegovina/KCUS170298/2021|EPI_ISL_8479658|2021-12-27	other	2021-12-27
hCoV-19/Bosnia_and_Herzegovina/VFS-UNSA-LMGFI1156/2022|EPI_ISL_9075024|2022-01-03	other	2022-01-03
hCoV-19/Bosnia_and_Herzegovina/VFS-UNSA-LMGFI344/2021|EPI_ISL_6512740|2021-10-21	other	2021-10-21
hCoV-19/Bosnia_and_Herzegovina/VFS-UNSA-LMGFI371/2021|EPI_ISL_6512767|2021-10-25	other	2021-10-25
hCoV-19/Bosnia_and_Herzegovina/VFS-UNSA-LMGFI643/2021|EPI_ISL_7971022|2021-11-21	other	2021-11-21
hCoV-19/Bosnia_and_Herzegovina/VFS-UNSA-LMGFI650/2021|EPI_ISL_7971028|2021-11-23	other	2021-11-23
hCoV-19/Botswana/CERI-KRISP-K027691/2021|EPI_ISL_9423142|2021-10-19	other	2021-10-19
hCoV-19/Botswana/R16B34_BHP_AAB45957/2021|EPI_ISL_2372305|2021-05-21	other	2021-05-21
hCoV-19/Botswana/R42B34_BHP_AAC24964/2021|EPI_ISL_7120937|2021-11-19	other	2021-11-19
hCoV-19/Botswana/R55B87_BHP_AAC38658/2021|EPI_ISL_7834475|2021-12-13	other	2021-12-13
hCoV-19/Botswana/R68B06_BHP_AAC54602/2022|EPI_ISL_8826538|2022-01-02	other	2022-01-02
hCoV-19/Brazil/BA-LACEN-BA1008-291975111/2021|EPI_ISL_8590650|2021-12-08	other	2021-12-08
hCoV-19/Brazil/PA-FIOCRUZ-60969/2021|EPI_ISL_7455748|2021-10-29	other	2021-10-29
hCoV-19/Brazil/PA-FIOCRUZ-64678/2021|EPI_ISL_8266350|2021-11-26	other	2021-11-26
hCoV-19/Brazil/PA-IEC1200-177729/2021|EPI_ISL_2248764|2021-01-13	other	2021-01-13
hCoV-19/Brazil/RJ-FIOCRUZ-10936/2020|EPI_ISL_1181494|2020-07-28	other	2020-07-28
hCoV-19/Brazil/RS-13648CVL/2020|EPI_ISL_1469619|2020-08-10	other	2020-08-10
hCoV-19/Brazil/SP-IB_129996/2021|EPI_ISL_4469923|2021-08-31	other	2021-08-31
hCoV-19/Brazil/SP-IB_145046/2021|EPI_ISL_8401494|2021-12-13	other	2021-12-13
hCoV-19/Brazil/SP-IB_148651/2022|EPI_ISL_9304536|2022-01-10	other	2022-01-10
hCoV-19/Brazil/SP-IB_150348/2022|EPI_ISL_9805344|2022-02-05	other	2022-02-05
hCoV-19/Brazil/SP-IB_150498/2022|EPI_ISL_9805070|2022-02-05	other	2022-02-05
hCoV-19/Brazil/SP-SEQ14268/2021|EPI_ISL_9795219|2021-10-25	other	2021-10-25
hCoV-19/Brunei/13260/2021|EPI_ISL_7369608|2021-10-31	other	2021-10-31
hCoV-19/Brunei/13817/2021|EPI_ISL_7404534|2021-11-06	other	2021-11-06
hCoV-19/Brunei/14403/2021|EPI_ISL_8119558|2021-11-17	other	2021-11-17
hCoV-19/Brunei/15269/2021|EPI_ISL_8327184|2021-12-08	other	2021-12-08
hCoV-19/Brunei/7122006347/2022|EPI_ISL_9437529|2022-01-07	other	2022-01-07
hCoV-19/Brunei/7122009359/2022|EPI_ISL_9731910|2022-01-10	other	2022-01-10
hCoV-19/Brunei/9821114008/2021|EPI_ISL_9412952|2021-12-20	other	2021-12-20
hCoV-19/Bulgaria/21BG-EU_009443_Pl90/2021|EPI_ISL_7326842|2021-10-20	other	2021-10-20
hCoV-19/Bulgaria/21BG-EU_012429_Pl118/2021|EPI_ISL_8580361|2021-11-26	other	2021-11-26
hCoV-19/Bulgaria/22BG-NC_014120_R23/2022|EPI_ISL_9168878|2022-01-04	other	2022-01-04
hCoV-19/Bulgaria/34/2020|EPI_ISL_480306|2020-04-25	other	2020-04-25
hCoV-19/Burkina_Faso/CHUSS_11526/2021|EPI_ISL_8207282|2021-10-21	other	2021-10-21
hCoV-19/Burkina_Faso/CV1933/2021|EPI_ISL_4255147|2021-04-16	other	2021-04-16
hCoV-19/Burundi/UG524/2021|EPI_ISL_2928008|2021-05-27	other	2021-05-27
hCoV-19/Cabo_Verde/Mindelo_00071/2020|EPI_ISL_1711651|2020-12-31	other	2020-12-31
hCoV-19/Cabo_Verde/Porto_Novo_13453/2020|EPI_ISL_1711657|2020-12-14	other	2020-12-14
hCoV-19/Cabo_Verde/Praia_30215/2020|EPI_ISL_1711641|2020-10-04	other	2020-10-04
hCoV-19/Cambodia/101372/2020|EPI_ISL_1040028|2020-10-27	other	2020-10-27
hCoV-19/Cambodia/568709/2021|EPI_ISL_2693918|2021-06-14	other	2021-06-14
hCoV-19/Cambodia/835748/2021|EPI_ISL_5451600|2021-10-13	other	2021-10-13
hCoV-19/Cambodia/845451/2021|EPI_ISL_5803004|2021-10-21	other	2021-10-21
hCoV-19/Cambodia/854977/2021|EPI_ISL_6000236|2021-10-27	other	2021-10-27
hCoV-19/Cambodia/905023/2022|EPI_ISL_8841238|2022-01-13	other	2022-01-13
hCoV-19/Cambodia/VIR2115973/2021|EPI_ISL_1098602|2021-02-03	other	2021-02-03
hCoV-19/Cambodia/f1110096/2021|EPI_ISL_6512084|2021-11-10	other	2021-11-10
hCoV-19/Cameroon/CENT308696/2021|EPI_ISL_9582653|2021-11-03	other	2021-11-03
hCoV-19/Cameroon/CERI-NPHL-K026260/2021|EPI_ISL_5596790|2021-08-25	other	2021-08-25
hCoV-19/Cameroon/DO334088/2021|EPI_ISL_10053020|2021-12-15	other	2021-12-15
hCoV-19/Cameroon/EXTN-17044/2021|EPI_ISL_10056359|2021-12-12	other	2021-12-12
hCoV-19/Cameroon/Ebolowa-20v-13106/2020|EPI_ISL_1001067|2020-05-12	other	2020-05-12
hCoV-19/Canada/AB-62882/2020|EPI_ISL_806356|2020-05-15	other	2020-05-15
hCoV-19/Canada/AB-67239/2020|EPI_ISL_806011|2020-05-04	other	2020-05-04
hCoV-19/Canada/AB-ABPHL-21925/2021|EPI_ISL_3117023|2021-05-14	other	2021-05-14
hCoV-19/Canada/AB-ABPHL-35031/2021|EPI_ISL_5631686|2021-09-14	other	2021-09-14
hCoV-19/Canada/AB-ABPHL-36259/2021|EPI_ISL_6660068|2021-09-23	other	2021-09-23
hCoV-19/Canada/AB-ABPHL-38891/2021|EPI_ISL_6662630|2021-10-25	other	2021-10-25
hCoV-19/Canada/AB-ABPHL-39528/2021|EPI_ISL_6663687|2021-10-21	other	2021-10-21
hCoV-19/Canada/AB-ABPHL-40387/2021|EPI_ISL_6665038|2021-11-02	other	2021-11-02
hCoV-19/Canada/AB-ABPHL-45833/2021|EPI_ISL_8390940|2021-12-16	other	2021-12-16
hCoV-19/Canada/AB-ABPHL-48688/2021|EPI_ISL_8846738|2021-12-30	other	2021-12-30
hCoV-19/Canada/AB-ABPHL-51324/2022|EPI_ISL_9800731|2022-01-10	other	2022-01-10
hCoV-19/Canada/AB-ABPHL-51375/2022|EPI_ISL_9800774|2022-01-12	other	2022-01-12
hCoV-19/Canada/AB-ABPHL-53029/2022|EPI_ISL_9877455|2022-02-02	other	2022-02-02
hCoV-19/Canada/ABPHL-02704/2021|EPI_ISL_2163186|2021-01-06	other	2021-01-06
hCoV-19/Canada/BC-BCCDC-107142/2021|EPI_ISL_3490855|2021-06-10	other	2021-06-10
hCoV-19/Canada/BC-BCCDC-12311/2020|EPI_ISL_2522120|2020-01-01	other	2020-01-01
hCoV-19/Canada/BC-BCCDC-230007/2021|EPI_ISL_6741692|2021-10-20	other	2021-10-20
hCoV-19/Canada/BC-BCCDC-236708/2021|EPI_ISL_6748393|2021-10-20	other	2021-10-20
hCoV-19/Canada/BC-BCCDC-24795/2021|EPI_ISL_2522154|2021-02-20	other	2021-02-20
hCoV-19/Canada/BC-BCCDC-256241/2021|EPI_ISL_7324427|2021-11-18	other	2021-11-18
hCoV-19/Canada/BC-BCCDC-313993/2021|EPI_ISL_8913664|2021-12-28	other	2021-12-28
hCoV-19/Canada/BC-BCCDC-324964/2022|EPI_ISL_9763020|2022-01-07	other	2022-01-07
hCoV-19/Canada/BC-BCCDC-341958/2022|EPI_ISL_9887710|2022-01-22	other	2022-01-22
hCoV-19/Canada/BC-BCCDC-3553/2020|EPI_ISL_968261|2020-06-24	other	2020-06-24
hCoV-19/Canada/BC-BCCDC-3584/2020|EPI_ISL_968275|2020-06-29	other	2020-06-29
hCoV-19/Canada/BC-BCCDC-3661/2020|EPI_ISL_970359|2020-09-10	other	2020-09-10
hCoV-19/Canada/BC-BCCDC-9193/2020|EPI_ISL_975693|2020-11-20	other	2020-11-20
hCoV-19/Canada/BC_6129127/2020|EPI_ISL_418837|2020-03-10	other	2020-03-10
hCoV-19/Canada/BC_69243/2020|EPI_ISL_415577|2020-02-20	other	2020-02-20
hCoV-19/Canada/MB-CPL-242792/2021|EPI_ISL_6676985|2021-10-18	other	2021-10-18
hCoV-19/Canada/MB-CPL-242829/2021|EPI_ISL_6677020|2021-11-01	other	2021-11-01
hCoV-19/Canada/MB-CPL-242859/2021|EPI_ISL_6677053|2021-11-01	other	2021-11-01
hCoV-19/Canada/MB-CPL-242877/2021|EPI_ISL_6677068|2021-10-25	other	2021-10-25
hCoV-19/Canada/MB-CPL-282364/2021|EPI_ISL_8559018|2021-12-15	other	2021-12-15
hCoV-19/Canada/MB-CPL-283674/2021|EPI_ISL_8559062|2021-12-12	other	2021-12-12
hCoV-19/Canada/MB-NML-1097/2020|EPI_ISL_1257927|2020-08-04	other	2020-08-04
hCoV-19/Canada/MB-NML-180358/2021|EPI_ISL_4494554|2021-07-23	other	2021-07-23
hCoV-19/Canada/MB-NML-2541/2020|EPI_ISL_1258006|2020-10-23	other	2020-10-23
hCoV-19/Canada/MB-NML-2616/2020|EPI_ISL_1258072|2020-10-22	other	2020-10-22
hCoV-19/Canada/NB-CHUDGLD-1112-MM00154R/2021|EPI_ISL_8405833|2021-12-11	other	2021-12-11
hCoV-19/Canada/NB-CHUDGLD-170122-MM00270R/2022|EPI_ISL_9474138|2022-01-17	other	2022-01-17
hCoV-19/Canada/NB-CHUDGLD-2012-MM01918R/2021|EPI_ISL_8406149|2021-12-20	other	2021-12-20
hCoV-19/Canada/NB-CHUDGLD-219405/2021|EPI_ISL_6157864|2021-10-14	other	2021-10-14
hCoV-19/Canada/NB-CHUDGLD-220122-MM00972S/2022|EPI_ISL_9474421|2022-01-22	other	2022-01-22
hCoV-19/Canada/NB-CHUDGLD-223465/2021|EPI_ISL_6158007|2021-10-21	other	2021-10-21
hCoV-19/Canada/NB-CHUDGLD-237120/2021|EPI_ISL_6639160|2021-10-30	other	2021-10-30
hCoV-19/Canada/NB-CHUDGLD-2711-MM00613R/2021|EPI_ISL_7472375|2021-11-27	other	2021-11-27
hCoV-19/Canada/NB-CHUGLD-0411-MM00078R/2021|EPI_ISL_7334940|2021-11-04	other	2021-11-04
hCoV-19/Canada/NB-NML-16960/2021|EPI_ISL_1272257|2021-02-11	other	2021-02-11
hCoV-19/Canada/NB-NML-24709/2021|EPI_ISL_1588213|2021-03-25	other	2021-03-25
