name,accession,date,location,lineage
hCoV-19/Australia/ACT2006/2021|EPI_ISL_7016910|2021-12-02,EPI_ISL_7016910,2021-12-02,Australia,BA.1.1
hCoV-19/Australia/NSW-ICPMR-10466/2021|EPI_ISL_5306457|2021-10-08,EPI_ISL_5306457,2021-10-08,Australia,AY.39.1
hCoV-19/Australia/NSW-ICPMR-11039/2021|EPI_ISL_5533635|2021-10-12,EPI_ISL_5533635,2021-10-12,Australia,AY.39.1.2
hCoV-19/Australia/NSW-ICPMR-13401/2021|EPI_ISL_6268034|2021-11-04,EPI_ISL_6268034,2021-11-04,Australia,AY.39.1.2
hCoV-19/Australia/NSW-ICPMR-5856/2021|EPI_ISL_3931311|2021-08-23,EPI_ISL_3931311,2021-08-23,Australia,AY.39.1
hCoV-19/Australia/NSW-R0457/2021|EPI_ISL_2811809|2021-06-26,EPI_ISL_2811809,2021-06-26,Australia,AY.39.1
hCoV-19/Australia/NSW07/2020|EPI_ISL_413214|2020-02-29,EPI_ISL_413214,2020-02-29,Australia,B.4.6
hCoV-19/Australia/NSW4281/2021|EPI_ISL_1069080|2021-02-19,EPI_ISL_1069080,2021-02-19,Australia,B.1.530
hCoV-19/Australia/NSW551/2020|EPI_ISL_455090|2020-05-12,EPI_ISL_455090,2020-05-12,Australia,B.1
hCoV-19/Australia/VIC02/2020|EPI_ISL_416410|2020-01-24,EPI_ISL_416410,2020-01-24,Australia,B
hCoV-19/Australia/VIC15/2020|EPI_ISL_419735|2020-02-24,EPI_ISL_419735,2020-02-24,Australia,B
hCoV-19/Australia/VIC1660/2020|EPI_ISL_456561|2020-05-12,EPI_ISL_456561,2020-05-12,Australia,B.1.338
hCoV-19/Australia/VIC20019/2021|EPI_ISL_6589794|2021-08-21,EPI_ISL_6589794,2021-08-21,Australia,AY.39.1
hCoV-19/Australia/VIC23308/2021|EPI_ISL_4883582|2021-09-11,EPI_ISL_4883582,2021-09-11,Australia,AY.39.1
hCoV-19/Australia/VIC26642/2021|EPI_ISL_6589162|2021-11-09,EPI_ISL_6589162,2021-11-09,Australia,AY.39.1.4
hCoV-19/Austria/CeMM0045/2020|EPI_ISL_437932|2020-02-24,EPI_ISL_437932,2020-02-24,Austria,B.1.1
hCoV-19/Austria/CeMM0461/2020|EPI_ISL_475872|2020-03-07,EPI_ISL_475872,2020-03-07,Austria,B.1.1
hCoV-19/Austria/CeMM0674/2020|EPI_ISL_583637|2020-05-14,EPI_ISL_583637,2020-05-14,Austria,B.1.224
hCoV-19/Austria/CeMM0977/2020|EPI_ISL_583822|2020-04-01,EPI_ISL_583822,2020-04-01,Austria,B.1.1
hCoV-19/Austria/CeMM11111/2021|EPI_ISL_2616217|2021-05-13,EPI_ISL_2616217,2021-05-13,Austria,B.1.1.7
hCoV-19/Austria/CeMM14992/2021|EPI_ISL_3982027|2021-08-13,EPI_ISL_3982027,2021-08-13,Austria,AY.4
hCoV-19/Austria/CeMM15381/2021|EPI_ISL_4060556|2021-08-20,EPI_ISL_4060556,2021-08-20,Austria,AY.4
hCoV-19/Austria/CeMM16727/2021|EPI_ISL_5031497|2021-09-15,EPI_ISL_5031497,2021-09-15,Austria,AY.122
hCoV-19/Austria/CeMM18685/2021|EPI_ISL_6092160|2021-10-17,EPI_ISL_6092160,2021-10-17,Austria,AY.126
hCoV-19/Austria/CeMM19191/2021|EPI_ISL_6945457|2021-10-18,EPI_ISL_6945457,2021-10-18,Austria,AY.34
hCoV-19/Austria/CeMM19472/2021|EPI_ISL_6698372|2021-11-04,EPI_ISL_6698372,2021-11-04,Austria,AY.43
hCoV-19/Austria/CeMM4150/2021|EPI_ISL_1180832|2021-02-13,EPI_ISL_1180832,2021-02-13,Austria,B.1.1.7
hCoV-19/Austria/MUW_1305566/2020|EPI_ISL_913082|2020-09-07,EPI_ISL_913082,2020-09-07,Austria,B.1.1.232
hCoV-19/Azerbaijan/Aghayev-07/2021|EPI_ISL_882643|2021-01-05,EPI_ISL_882643,2021-01-05,Azerbaijan,B.1.1
hCoV-19/Bahamas/33821/2020|EPI_ISL_1415415|2020-03-31,EPI_ISL_1415415,2020-03-31,TheBahamas,B.1.378
hCoV-19/Bahamas/33827/2020|EPI_ISL_1415411|2020-08-03,EPI_ISL_1415411,2020-08-03,TheBahamas,B.1
hCoV-19/Bahamas/33830/2020|EPI_ISL_1415408|2020-09-02,EPI_ISL_1415408,2020-09-02,TheBahamas,B.1.240
hCoV-19/Bahamas/33833/2020|EPI_ISL_1415407|2020-10-19,EPI_ISL_1415407,2020-10-19,TheBahamas,B.1.240
hCoV-19/Bahamas/47987/2021|EPI_ISL_4237390|2021-05-09,EPI_ISL_4237390,2021-05-09,TheBahamas,B.1.1.7
hCoV-19/Bahamas/47991/2021|EPI_ISL_4237381|2021-05-17,EPI_ISL_4237381,2021-05-17,TheBahamas,B.1.1.7
hCoV-19/Bahamas/47995/2021|EPI_ISL_4237384|2021-06-28,EPI_ISL_4237384,2021-06-28,TheBahamas,B.1.1.7
hCoV-19/Bahamas/48056/2021|EPI_ISL_4237145|2021-08-07,EPI_ISL_4237145,2021-08-07,TheBahamas,AY.75
hCoV-19/Bahamas/48067/2021|EPI_ISL_4237150|2021-08-04,EPI_ISL_4237150,2021-08-04,TheBahamas,AY.75
hCoV-19/Bahamas/50174/2021|EPI_ISL_4418867|2021-06-28,EPI_ISL_4418867,2021-06-28,TheBahamas,B.1.1.7
hCoV-19/Bahrain/21100203436/2021|EPI_ISL_6266395|2021-11-08,EPI_ISL_6266395,2021-11-08,Bahrain,AY.91
hCoV-19/Bahrain/21342636491/2021|EPI_ISL_5032797|2021-09-29,EPI_ISL_5032797,2021-09-29,Bahrain,AY.20
hCoV-19/Bahrain/21342675787/2021|EPI_ISL_5632936|2021-10-13,EPI_ISL_5632936,2021-10-13,Bahrain,AY.33
hCoV-19/Bahrain/21921619084/2021|EPI_ISL_5032818|2021-09-30,EPI_ISL_5032818,2021-09-30,Bahrain,AY.65
hCoV-19/Bahrain/21921879339/2021|EPI_ISL_6266468|2021-11-09,EPI_ISL_6266468,2021-11-09,Bahrain,AY.39
hCoV-19/Bahrain/21990096942/2021|EPI_ISL_5633114|2021-10-14,EPI_ISL_5633114,2021-10-14,Bahrain,AY.65
hCoV-19/Bahrain/250182773/2020|EPI_ISL_682315|2020-11-16,EPI_ISL_682315,2020-11-16,Bahrain,AE.6
hCoV-19/Bahrain/90027669_S323_L001/2021|EPI_ISL_4105149|2021-08-25,EPI_ISL_4105149,2021-08-25,Bahrain,AY.65
hCoV-19/Bahrain/921385685_S196_L001/2021|EPI_ISL_4105198|2021-08-27,EPI_ISL_4105198,2021-08-27,Bahrain,AY.98.1
hCoV-19/Bahrain/BAH-15/2020|EPI_ISL_483556|2020-04-04,EPI_ISL_483556,2020-04-04,Bahrain,B.4.2
hCoV-19/Bahrain/NPS-57/2021|EPI_ISL_3568306|2021-07-01,EPI_ISL_3568306,2021-07-01,Bahrain,AY.65
hCoV-19/Bangladesh/BCSIR-NILMRC-118a/2020|EPI_ISL_482487|2020-06-18,EPI_ISL_482487,2020-06-18,Bangladesh,B.1.1
hCoV-19/Bangladesh/CHRF-0312/2021|EPI_ISL_2445998|2021-05-02,EPI_ISL_2445998,2021-05-02,Bangladesh,B.1.351.3
hCoV-19/Bangladesh/CHRF-GSB10-059/2021|EPI_ISL_7043474|2021-11-02,EPI_ISL_7043474,2021-11-02,Bangladesh,B.1.617.2
hCoV-19/Bangladesh/CHRF-GSB10-060/2021|EPI_ISL_7043491|2021-11-02,EPI_ISL_7043491,2021-11-02,Bangladesh,B.1.617.2
hCoV-19/Bangladesh/G-27/2020|EPI_ISL_600554|2020-03-26,EPI_ISL_600554,2020-03-26,Bangladesh,B.1
hCoV-19/Bangladesh/IEDCR-OIS-348/2021|EPI_ISL_3668124|2021-06-28,EPI_ISL_3668124,2021-06-28,Bangladesh,B.1.617.2
hCoV-19/Bangladesh/IEDCR-ideSHi-GBS02-040/2021|EPI_ISL_4489817|2021-08-26,EPI_ISL_4489817,2021-08-26,Bangladesh,B.1.617.2
hCoV-19/Bangladesh/icddrb-7378/2021|EPI_ISL_2361903|2021-02-22,EPI_ISL_2361903,2021-02-22,Bangladesh,B.1.1.7
hCoV-19/Bangladesh/icddrb-GSB08-046/2021|EPI_ISL_5858368|2021-09-17,EPI_ISL_5858368,2021-09-17,Bangladesh,AY.112
hCoV-19/Bangladesh/icddrb-GSB10-032/2021|EPI_ISL_4548450|2021-08-31,EPI_ISL_4548450,2021-08-31,Bangladesh,B.1.617.2
hCoV-19/Bangladesh/icddrb-GSB12-049/2021|EPI_ISL_6117140|2021-10-12,EPI_ISL_6117140,2021-10-12,Bangladesh,AY.100
hCoV-19/Bangladesh/icddrb-GSB12-053/2021|EPI_ISL_6841672|2021-10-17,EPI_ISL_6841672,2021-10-17,Bangladesh,B.1.617.2
hCoV-19/Bangladesh/icddrb-GSB13-053/2021|EPI_ISL_5050335|2021-09-06,EPI_ISL_5050335,2021-09-06,Bangladesh,AY.112
hCoV-19/Bangladesh/ideSHi-0210/2021|EPI_ISL_1498137|2021-03-15,EPI_ISL_1498137,2021-03-15,Bangladesh,B.1.351.3
hCoV-19/Barbados/63454/2021|EPI_ISL_2545191|2021-04-08,EPI_ISL_2545191,2021-04-08,Barbados,B.1.1.7
hCoV-19/Barbados/76427/2021|EPI_ISL_2967992|2021-07-03,EPI_ISL_2967992,2021-07-03,Barbados,AY.11
hCoV-19/Belarus/HM-RRCEM-Sars_Cov2_sp_1/2021|EPI_ISL_1138899|2021-01-18,EPI_ISL_1138899,2021-01-18,Belarus,B.1.1.374
hCoV-19/Belarus/MI-RII-MH11337S/2020|EPI_ISL_754229|2020-04-24,EPI_ISL_754229,2020-04-24,Belarus,B.1.164
hCoV-19/Belgium/AZDelta-2147-31057/2021|EPI_ISL_7124251|2021-12-02,EPI_ISL_7124251,2021-12-02,Belgium,AY.43
hCoV-19/Belgium/AZDelta-2147-31261/2021|EPI_ISL_7124151|2021-12-02,EPI_ISL_7124151,2021-12-02,Belgium,AY.4.2.3
hCoV-19/Belgium/MBLGPF927697/2021|EPI_ISL_4740487|2021-09-24,EPI_ISL_4740487,2021-09-24,Belgium,AY.33
hCoV-19/Belgium/ULB-IBC_CV8261236382/2021|EPI_ISL_7071515|2021-11-27,EPI_ISL_7071515,2021-11-27,Finland,AY.43
hCoV-19/Belgium/ULG-13758/2021|EPI_ISL_1533879|2021-03-24,EPI_ISL_1533879,2021-03-24,Belgium,B.1.1.7
hCoV-19/Belgium/ULG-14390/2021|EPI_ISL_1672134|2021-04-07,EPI_ISL_1672134,2021-04-07,Belgium,B.1.1.7
hCoV-19/Belgium/ULG-18587/2021|EPI_ISL_3981657|2021-08-21,EPI_ISL_3981657,2021-08-21,Belgium,AY.125
hCoV-19/Belgium/ULG-22123/2021|EPI_ISL_6914497|2021-11-18,EPI_ISL_6914497,2021-11-18,Belgium,AY.110
hCoV-19/Belgium/UMONS-P02-70793-01/2021|EPI_ISL_3948657|2021-08-28,EPI_ISL_3948657,2021-08-28,Belgium,AY.6
hCoV-19/Belgium/UMONS-P034403101/2021|EPI_ISL_6258853|2021-11-08,EPI_ISL_6258853,2021-11-08,Belgium,AY.43
hCoV-19/Belgium/ZNA_21749644/2021|EPI_ISL_5106641|2021-09-28,EPI_ISL_5106641,2021-09-28,Belgium,AY.43
hCoV-19/Belgium/ZNA_21827436/2021|EPI_ISL_6775921|2021-10-27,EPI_ISL_6775921,2021-10-27,Belarus,AY.122
hCoV-19/Belgium/rega-0508673/2020|EPI_ISL_738214|2020-05-08,EPI_ISL_738214,2020-05-08,Belgium,B.1.1.1
hCoV-19/Belgium/rega-10511/2021|EPI_ISL_2877056|2021-06-03,EPI_ISL_2877056,2021-06-03,Belgium,B.1.617.2
hCoV-19/Belgium/rega-17351/2021|EPI_ISL_5366363|2021-10-04,EPI_ISL_5366363,2021-10-04,Belgium,AY.123
hCoV-19/Belgium/rega-17375/2021|EPI_ISL_5366397|2021-10-06,EPI_ISL_5366397,2021-10-06,Belgium,AY.9.2
hCoV-19/Belgium/rega-3570/2021|EPI_ISL_1312090|2021-02-20,EPI_ISL_1312090,2021-02-20,Belgium,B.1.1.7
hCoV-19/Belize/8418215/2021|EPI_ISL_5457604|2021-08-03,EPI_ISL_5457604,2021-08-03,Belize,AY.4
hCoV-19/Belize/BZ-CML-TCMC-BZ007-0920/2020|EPI_ISL_1822764|2020-09-23,EPI_ISL_1822764,2020-09-23,Belize,B.1.147
hCoV-19/Belize/CML-103/2021|EPI_ISL_4296407|2021-06-30,EPI_ISL_4296407,2021-06-30,Belize,B.1.617.2
hCoV-19/Belize/CML-114/2021|EPI_ISL_4296418|2021-06-27,EPI_ISL_4296418,2021-06-27,Belize,A.2.5
hCoV-19/Belize/CML-119/2021|EPI_ISL_4296423|2021-06-28,EPI_ISL_4296423,2021-06-28,Belize,A.2.5
hCoV-19/Belize/CML-131/2021|EPI_ISL_4296435|2021-04-29,EPI_ISL_4296435,2021-04-29,Belize,B.1.2
hCoV-19/Belize/CML-141/2021|EPI_ISL_5887229|2021-08-04,EPI_ISL_5887229,2021-08-04,Belize,P.1.17
hCoV-19/Belize/CML-148/2021|EPI_ISL_5887235|2021-08-04,EPI_ISL_5887235,2021-08-04,Belize,A.2.5
hCoV-19/Belize/CML-156/2021|EPI_ISL_5887243|2021-08-05,EPI_ISL_5887243,2021-08-05,Belize,AY.75
hCoV-19/Belize/CML-161/2021|EPI_ISL_5887248|2021-08-05,EPI_ISL_5887248,2021-08-05,Belize,A.2.5
hCoV-19/Belize/CML-165/2021|EPI_ISL_5887252|2021-08-04,EPI_ISL_5887252,2021-08-04,Belize,AY.75
hCoV-19/Belize/CML-167/2021|EPI_ISL_5887254|2021-08-05,EPI_ISL_5887254,2021-08-05,Belize,AY.75
hCoV-19/Belize/CML-174/2021|EPI_ISL_5887261|2021-08-07,EPI_ISL_5887261,2021-08-07,Belize,A.2.5
hCoV-19/Belize/CML-183/2021|EPI_ISL_5887270|2021-08-09,EPI_ISL_5887270,2021-08-09,Belize,A.2.5
hCoV-19/Belize/CML-191/2021|EPI_ISL_5887278|2021-08-10,EPI_ISL_5887278,2021-08-10,Belize,B.1.617.2
hCoV-19/Belize/CML-193/2021|EPI_ISL_5887280|2021-08-09,EPI_ISL_5887280,2021-08-09,Belize,AY.75
hCoV-19/Belize/CML-2/2021|EPI_ISL_4296311|2021-01-13,EPI_ISL_4296311,2021-01-13,Belize,B.1.147
hCoV-19/Belize/CML-33/2021|EPI_ISL_4296341|2021-01-29,EPI_ISL_4296341,2021-01-29,Belize,B.1.147
hCoV-19/Belize/CML-35/2021|EPI_ISL_4296343|2021-02-01,EPI_ISL_4296343,2021-02-01,Belize,B.1.147
hCoV-19/Belize/CML-40/2021|EPI_ISL_4296348|2021-02-04,EPI_ISL_4296348,2021-02-04,Belize,B.1.147
hCoV-19/Belize/CML-63/2021|EPI_ISL_4296368|2021-05-25,EPI_ISL_4296368,2021-05-25,Belize,B.1.1.7
hCoV-19/Belize/CML-70/2021|EPI_ISL_4296374|2021-06-19,EPI_ISL_4296374,2021-06-19,Belize,B.1.1.7
hCoV-19/Belize/CML-89/2021|EPI_ISL_4296393|2021-04-07,EPI_ISL_4296393,2021-04-07,Belize,B.1.617.2
hCoV-19/Benin/250541/2021|EPI_ISL_2932544|2021-01-31,EPI_ISL_2932544,2021-01-31,Benin,B.1.525
hCoV-19/Benin/250793/2021|EPI_ISL_4567048|2021-02-01,EPI_ISL_4567048,2021-02-01,Benin,A.27
hCoV-19/Benin/417020/2021|EPI_ISL_4566841|2021-05-26,EPI_ISL_4566841,2021-05-26,Benin,C.36.3
hCoV-19/Benin/453466/2021|EPI_ISL_4566908|2021-06-30,EPI_ISL_4566908,2021-06-30,Benin,AY.4
hCoV-19/Benin/NMIMR-LCA5254/2021|EPI_ISL_7139822|2021-08-02,EPI_ISL_7139822,2021-08-02,Benin,AY.36
hCoV-19/Benin/NMIMR-LFHV529399/2021|EPI_ISL_7139919|2021-08-23,EPI_ISL_7139919,2021-08-23,Benin,AY.39
hCoV-19/Benin/NMIMR-LFHV531105/2021|EPI_ISL_7139944|2021-08-24,EPI_ISL_7139944,2021-08-24,Benin,AY.36
hCoV-19/Bermuda/102337/2021|EPI_ISL_6932099|2021-10-05,EPI_ISL_6932099,2021-10-05,Bermuda,AY.119
hCoV-19/Bolivia/26954/2020|EPI_ISL_837572|2020-03-11,EPI_ISL_837572,2020-03-11,Bolivia,B.1.1
hCoV-19/Bonaire/BQ-RIVM-35163/2021|EPI_ISL_2405620|2021-05-09,EPI_ISL_2405620,2021-05-09,Bonaire,B.1.1.7
hCoV-19/Bonaire/BQ-RIVM-53845/2021|EPI_ISL_3918578|2021-08-13,EPI_ISL_3918578,2021-08-13,Bonaire,AY.25.1
hCoV-19/Bonaire/BQ-RIVM-55868/2021|EPI_ISL_4076999|2021-08-18,EPI_ISL_4076999,2021-08-18,Bonaire,AY.9.2
hCoV-19/Bonaire/BQ-RIVM-58981/2021|EPI_ISL_4543525|2021-09-05,EPI_ISL_4543525,2021-09-05,Bonaire,AY.42.1
hCoV-19/Bonaire/BQ-RIVM-61684/2021|EPI_ISL_4846159|2021-09-24,EPI_ISL_4846159,2021-09-24,Bonaire,AY.44
hCoV-19/Bonaire/BQ-RIVM-65124/2021|EPI_ISL_5822126|2021-10-11,EPI_ISL_5822126,2021-10-11,Bonaire,AY.121
hCoV-19/Bonaire/BQ-RIVM-67262/2021|EPI_ISL_5968299|2021-10-22,EPI_ISL_5968299,2021-10-22,Bonaire,AY.42.1
hCoV-19/Bonaire/BQ-RIVM-69654/2021|EPI_ISL_6852600|2021-11-08,EPI_ISL_6852600,2021-11-08,Bonaire,AY.9.2
hCoV-19/Bonaire/BQ-RIVM-69655/2021|EPI_ISL_6852601|2021-11-08,EPI_ISL_6852601,2021-11-08,Bonaire,AY.9.2
hCoV-19/Bosnia_and_Herzegovina/166823/2021|EPI_ISL_4239906|2021-08-14,EPI_ISL_4239906,2021-08-14,BosniaandHerzegovina,AY.43
hCoV-19/Bosnia_and_Herzegovina/167092/2021|EPI_ISL_4239933|2021-08-16,EPI_ISL_4239933,2021-08-16,BosniaandHerzegovina,AY.43
hCoV-19/Bosnia_and_Herzegovina/VFS-UNSA-LMGFI003/2020|EPI_ISL_955142|2020-07-15,EPI_ISL_955142,2020-07-15,BosniaandHerzegovina,B.1.1.70
